title,price,star_rating,availability,category,book_url
Boar Island (Anna Pigeon #19),Â£59.48,Three,In stock,Mystery,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
The Widow,Â£27.26,Two,In stock,Mystery,https://books.toscrape.com/catalogue/the-widow_609/index.html
Playing with Fire,Â£13.71,Three,In stock,Mystery,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,Five,In stock,Mystery,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,Five,In stock,Mystery,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,Four,In stock,Mystery,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
Tipping the Velvet,Â£53.74,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â£29.69,Three,In stock,Historical Fiction,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),Â£55.53,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,Â£36.95,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Mrs. Houdini,Â£30.25,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
The Marriage of Opposites,Â£28.08,Four,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,Â£45.84,Three,In stock,Historical Fiction,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",Â£20.55,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
A Paris Apartment,Â£39.01,Four,In stock,Historical Fiction,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Lilac Girls,Â£17.28,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),Â£16.62,Three,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,Â£37.34,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),Â£32.97,Four,In stock,Historical Fiction,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,Â£28.32,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,Â£26.77,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),Â£21.07,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,Â£35.66,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Last Painting of Sara de Vos,Â£55.55,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,Â£49.53,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,Â£46.83,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Unicorn Tracks,Â£18.78,Three,In stock,Fantasy,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,Three,In stock,Fantasy,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,Five,In stock,Fantasy,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
Masks and Shadows,Â£56.40,Two,In stock,Fantasy,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
Crown of Midnight (Throne of Glass #2),Â£43.29,Three,In stock,Fantasy,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Â£28.09,Two,In stock,Fantasy,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Â£52.37,One,In stock,Fantasy,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
Throne of Glass (Throne of Glass #1),Â£35.07,Three,In stock,Fantasy,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html
The Glittering Court (The Glittering Court #1),Â£44.28,One,In stock,Fantasy,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html
Hollow City (Miss Peregrineâs Peculiar Children #2),Â£42.98,One,In stock,Fantasy,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html
The Star-Touched Queen,Â£46.02,Five,In stock,Fantasy,https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html
The Hidden Oracle (The Trials of Apollo #1),Â£52.26,Two,In stock,Fantasy,https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html
The Bane Chronicles (The Bane Chronicles #1-11),Â£44.73,Four,In stock,Fantasy,https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html
Island of Dragons (Unwanteds #7),Â£29.65,One,In stock,Fantasy,https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Â£37.51,Five,In stock,Fantasy,https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html
City of Glass (The Mortal Instruments #3),Â£56.02,Four,In stock,Fantasy,https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html
Searching for Meaning in Gailana,Â£38.73,One,In stock,Fantasy,https://books.toscrape.com/catalogue/searching-for-meaning-in-gailana_648/index.html
The Star-Touched Queen,Â£32.30,Five,In stock,Fantasy,https://books.toscrape.com/catalogue/the-star-touched-queen_642/index.html
A Shard of Ice (The Black Symphony Saga #1),Â£56.63,Three,In stock,Fantasy,https://books.toscrape.com/catalogue/a-shard-of-ice-the-black-symphony-saga-1_558/index.html
King's Folly (The Kinsman Chronicles #1),Â£39.61,Five,In stock,Fantasy,https://books.toscrape.com/catalogue/kings-folly-the-kinsman-chronicles-1_473/index.html
